what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355252041454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355252042312
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1355281468941
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1355281470151
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1355281470151
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1355281470151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283334784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283343604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283347334
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.edit.text.openLocalFile",1355283347434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1355283351044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283355434
error,log,,,"New Project Wizard failed",1355283372044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283375324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1355283375374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283378604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283383224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283386304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283431810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283432120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355283436150
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1355283513040
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1355283513670
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1355283514800
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1355283514860
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1355283515020
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1355283515050
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1355283515070
