what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1355325524708
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355325534935
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355325534979
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355325576507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355325581475
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355325584646
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355325584646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325593280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325633924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1355325633933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325639281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325643477
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1355325643483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355325643483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325646873
error,log,,,"Failed to load properties file for project 'BEProject'",1355325753694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325753803
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355325754792
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355325754859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325772839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325775271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325776901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325782269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325784359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325786149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325793098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325799089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325820481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325857246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325906400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355325937375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355325976672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355325980507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355326014001
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355326016356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355326019598
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355326030412
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355326030884
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355326030957
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355326040891
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355326040891
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355326046015
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355326049915
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355326049968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355326077552
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355326078692
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355326078693
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1355326081450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326084480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326085881
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1355326085895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1355326113655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1355326113871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355326122186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355326126118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326131217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326134056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326233963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326240758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326250100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326260002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326264636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326287778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326290980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326307323
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355326314241
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355326314429
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326348377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355326359035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355326376149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355326388527
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326391017
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326393071
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326394211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355326402437
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326427212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355326429916
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326432862
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326438087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355326444897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355326447647
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355326449390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355326450238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326490502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326501203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355326504089
