what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems encountered while moving resources.",1355291334101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291340847
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1355291340860
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355291345512
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355291345609
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1355291345609
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355291346752
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355291347811
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355291347811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291356072
error,log,,,"Internal Error",1355291359693
error,log,,,"Problems encountered while moving resources.",1355291359694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291360760
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1355291360769
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1355291370569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291388834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291392005
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1355291392012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291401509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291403237
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355291409779
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355291409899
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355291414090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291417886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291419363
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1355291419374
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1355291435365
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355291448287
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355291449464
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355291449634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355291458065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355291459501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355291463639
