what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355330935244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355330937491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355330940865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355330953168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355330957369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355330959686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355331002461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355331006390
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355331008281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331019173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331096979
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355331099821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355331101389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355331101788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355331122010
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355331128987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331141338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331141494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331154723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331158001
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355331161277
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1355331162945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1355331187012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331189853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355331190971
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355331192729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355331199864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355331214277
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355331215431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1355331218094
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1355331224405
